2016-12-19 22:32:51 SELECT Count(id) FROM `user`  LIMIT 1

2016-12-19 22:34:45: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:34:52: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:35:04: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:35:08: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:35:14: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:36:13: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:36:22: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:37:07: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:37:35: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:38:15: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:38:22: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:38:40: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:40:27: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:40:48: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:41:06: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:42:08: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:42:14: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:42:51: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:43:36: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:53:39: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:53:59: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:54:13: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:56:25: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:57:35: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:57:39: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:58:09: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
2016-12-19 22:59:57: SELECT * FROM `rd_user` ORDER BY `id` desc  LIMIT 10
